structure,robot,dataset,scene_id,r_filter,n_points,solved,time_secs,construction_secs,n_samples,n_nodes
mvtable,panda,bookshelf_small,1,0.048,2366,true,0.000187025,0.000155944,1,5
mvtable_mutable,panda,bookshelf_small,1,0.048,2366,true,0.000212963,0.000176321,1,5
capt,panda,bookshelf_small,1,0.048,2366,true,0.000390392,0.003754973,1,5
kiddo,panda,bookshelf_small,1,0.048,2366,true,0.000538066,0.000105966,1,5
mvtable_simd,panda,bookshelf_small,1,0.048,2366,true,0.00017646,0.000171293,1,5
mvtable_mutable_simd,panda,bookshelf_small,1,0.048,2366,true,0.0001604,0.000184723,1,5
capt_simd,panda,bookshelf_small,1,0.048,2366,true,0.000169068,0.004652017,1,5
mvtable,panda,bookshelf_small,2,0.048,2368,true,0.000477468,0.000160801,116,7
mvtable_mutable,panda,bookshelf_small,2,0.048,2368,true,0.000427157,0.000172145,116,7
capt,panda,bookshelf_small,2,0.048,2368,true,0.000925117,0.003563342,116,7
kiddo,panda,bookshelf_small,2,0.048,2368,true,0.001061829,0.000123749,116,7
mvtable_simd,panda,bookshelf_small,2,0.048,2368,true,0.000460748,0.000169651,116,7
mvtable_mutable_simd,panda,bookshelf_small,2,0.048,2368,true,0.000428815,0.000170838,116,7
capt_simd,panda,bookshelf_small,2,0.048,2368,true,0.000468088,0.004264136,116,7
mvtable,panda,bookshelf_small,3,0.048,2309,true,0.000120818,0.000152534,1,6
mvtable_mutable,panda,bookshelf_small,3,0.048,2309,true,0.000098579,0.000165923,1,6
capt,panda,bookshelf_small,3,0.048,2309,true,0.000263521,0.003324677,1,6
kiddo,panda,bookshelf_small,3,0.048,2309,true,0.000629335,0.000116318,1,6
mvtable_simd,panda,bookshelf_small,3,0.048,2309,true,0.000093311,0.000138924,1,6
mvtable_mutable_simd,panda,bookshelf_small,3,0.048,2309,true,0.000086154,0.000164004,1,6
capt_simd,panda,bookshelf_small,3,0.048,2309,true,0.000149188,0.004051165,1,6
mvtable,panda,bookshelf_small,4,0.048,2262,true,0.000086357,0.000175959,15,5
mvtable_mutable,panda,bookshelf_small,4,0.048,2262,true,0.000083448,0.000175838,15,5
capt,panda,bookshelf_small,4,0.048,2262,true,0.000228355,0.003290814,15,5
kiddo,panda,bookshelf_small,4,0.048,2262,true,0.000512846,0.000103706,15,5
mvtable_simd,panda,bookshelf_small,4,0.048,2262,true,0.000076236,0.00013704,15,5
mvtable_mutable_simd,panda,bookshelf_small,4,0.048,2262,true,0.000071562,0.000162253,15,5
capt_simd,panda,bookshelf_small,4,0.048,2262,true,0.000152637,0.004061581,15,5
mvtable,panda,bookshelf_small,5,0.048,2326,true,0.000324592,0.000146037,152,9
mvtable_mutable,panda,bookshelf_small,5,0.048,2326,true,0.00030139,0.000171903,152,9
capt,panda,bookshelf_small,5,0.048,2326,true,0.000851608,0.003401463,152,9
kiddo,panda,bookshelf_small,5,0.048,2326,true,0.001017847,0.000108662,152,9
mvtable_simd,panda,bookshelf_small,5,0.048,2326,true,0.000310774,0.000172506,152,9
mvtable_mutable_simd,panda,bookshelf_small,5,0.048,2326,true,0.000283368,0.000176812,152,9
capt_simd,panda,bookshelf_small,5,0.048,2326,true,0.000392824,0.004090359,152,9
mvtable,panda,bookshelf_small,6,0.048,2364,true,0.002745156,0.000162869,2124,13
mvtable_mutable,panda,bookshelf_small,6,0.048,2364,true,0.002538912,0.000206419,2124,13
capt,panda,bookshelf_small,6,0.048,2364,true,0.005159353,0.003760297,2124,13
kiddo,panda,bookshelf_small,6,0.048,2364,true,0.00713882,0.000130384,2124,13
mvtable_simd,panda,bookshelf_small,6,0.048,2364,true,0.002724258,0.000188854,2124,13
mvtable_mutable_simd,panda,bookshelf_small,6,0.048,2364,true,0.002495055,0.000196586,2124,13
capt_simd,panda,bookshelf_small,6,0.048,2364,true,0.003708303,0.004230061,2124,13
mvtable,panda,bookshelf_small,7,0.048,2402,true,0.000096194,0.000201729,10,6
mvtable_mutable,panda,bookshelf_small,7,0.048,2402,true,0.000087,0.000181622,10,6
capt,panda,bookshelf_small,7,0.048,2402,true,0.00015359,0.003489234,10,6
kiddo,panda,bookshelf_small,7,0.048,2402,true,0.000364099,0.000107047,10,6
mvtable_simd,panda,bookshelf_small,7,0.048,2402,true,0.000086473,0.000149255,10,6
mvtable_mutable_simd,panda,bookshelf_small,7,0.048,2402,true,0.000088706,0.000177097,10,6
capt_simd,panda,bookshelf_small,7,0.048,2402,true,0.00013898,0.004201872,10,6
mvtable,panda,bookshelf_small,8,0.048,2386,true,0.000188564,0.000171701,5,6
mvtable_mutable,panda,bookshelf_small,8,0.048,2386,true,0.000156174,0.000179689,5,6
capt,panda,bookshelf_small,8,0.048,2386,true,0.000309757,0.003446139,5,6
kiddo,panda,bookshelf_small,8,0.048,2386,true,0.000483175,0.000123579,5,6
mvtable_simd,panda,bookshelf_small,8,0.048,2386,true,0.000163479,0.000147098,5,6
mvtable_mutable_simd,panda,bookshelf_small,8,0.048,2386,true,0.000154898,0.000191575,5,6
capt_simd,panda,bookshelf_small,8,0.048,2386,true,0.000185439,0.004106258,5,6
mvtable,panda,bookshelf_small,9,0.048,2383,true,0.000829741,0.000157952,255,12
mvtable_mutable,panda,bookshelf_small,9,0.048,2383,true,0.000732828,0.000171694,255,12
capt,panda,bookshelf_small,9,0.048,2383,true,0.001903993,0.003410839,255,12
kiddo,panda,bookshelf_small,9,0.048,2383,true,0.00177339,0.00011956,255,12
mvtable_simd,panda,bookshelf_small,9,0.048,2383,true,0.000811788,0.000176103,255,12
mvtable_mutable_simd,panda,bookshelf_small,9,0.048,2383,true,0.000741363,0.000170344,255,12
capt_simd,panda,bookshelf_small,9,0.048,2383,true,0.000870901,0.004102347,255,12
mvtable,panda,bookshelf_small,10,0.048,2277,true,0.000120569,0.000146447,9,11
mvtable_mutable,panda,bookshelf_small,10,0.048,2277,true,0.000113668,0.000159831,9,11
capt,panda,bookshelf_small,10,0.048,2277,true,0.000293302,0.003342469,9,11
kiddo,panda,bookshelf_small,10,0.048,2277,true,0.000642784,0.000104384,9,11
